eps_c_MeVfm3,p_c_MeVfm3,B_MeVfm3,Delta_MeV,mu_ref_MeV,epsilon_surface_MeVfm3,pair_pressure_MeVfm3,M_msun,R_km,compactness_2M_R,max_compactness_inside,surface_f_metric,n_steps,status
800.0,209.96351432129666,90,100,400.0,170.10945703611,63.29684765463,2.331355025339388,12.75,0.5400221654834777,0.5400221654834777,0.4599778345165223,510,ok
1250.0,325.82421191365745,80,50,400.0,272.5273642590275,15.8242119136575,1.8415621659004477,10.1,0.5384908979285318,0.5384908979285318,0.4615091020714682,404,ok
1300.0,340.0,70,0,400.0,280.0,0.0,1.8165561299104651,9.95,0.5391866088642786,0.5391866088642787,0.4608133911357213,398,ok
