M_Msun,delta_1e-01_ms,delta_1e-02_ms,delta_1e-03_ms,delta_1e-04_ms,delta_1e-05_ms
10,0.4537708669531298,0.9075417339062596,1.3613126008593892,1.8150834678125192,2.268854334765649
30,1.3613126008593892,2.7226252017187784,4.083937802578168,5.445250403437557,6.806563004296947
60,2.7226252017187784,5.445250403437557,8.167875605156336,10.890500806875114,13.613126008593895
100,4.537708669531298,9.075417339062597,13.613126008593895,18.150834678125193,22.68854334765649
1000.0,45.37708669531297,90.75417339062594,136.13126008593892,181.50834678125187,226.88543347656486
1000000.0,45377.08669531298,90754.17339062596,136131.26008593893,181508.34678125192,226885.4334765649
