A,x_match,q,compactness_2M_over_R,branch
18.8,3.0,2,2.8650517550950485,horizon_interior_static_caution
19.0,3.0,2,2.8955310290854213,horizon_interior_static_caution
19.2,3.0,2,2.9260103030757936,horizon_interior_static_caution
19.400000000000002,3.0,2,2.9564895770661668,horizon_interior_static_caution
19.6,3.0,2,2.9869688510565395,horizon_interior_static_caution
19.8,3.0,2,3.0174481250469123,horizon_interior_static_caution
20.0,3.0,2,3.047927399037285,horizon_interior_static_caution
20.2,3.0,2,3.078406673027658,horizon_interior_static_caution
20.400000000000002,3.0,2,3.108885947018031,horizon_interior_static_caution
20.6,3.0,2,3.139365221008404,horizon_interior_static_caution
20.8,3.0,2,3.169844494998777,horizon_interior_static_caution
21.0,3.0,2,3.2003237689891493,horizon_interior_static_caution
21.2,3.0,2,3.230803042979522,horizon_interior_static_caution
21.400000000000002,3.0,2,3.2612823169698952,horizon_interior_static_caution
21.6,3.0,2,3.291761590960268,horizon_interior_static_caution
21.8,3.0,2,3.3222408649506407,horizon_interior_static_caution
22.0,3.0,2,3.3527201389410135,horizon_interior_static_caution
22.2,3.0,2,3.3831994129313867,horizon_interior_static_caution
22.400000000000002,3.0,2,3.41367868692176,horizon_interior_static_caution
22.6,3.0,2,3.4441579609121327,horizon_interior_static_caution
22.8,3.0,2,3.4746372349025054,horizon_interior_static_caution
23.0,3.0,2,3.5051165088928777,horizon_interior_static_caution
23.2,3.0,2,3.5355957828832505,horizon_interior_static_caution
23.400000000000002,3.0,2,3.5660750568736237,horizon_interior_static_caution
23.6,3.0,2,3.5965543308639965,horizon_interior_static_caution
23.8,3.0,2,3.627033604854369,horizon_interior_static_caution
24.0,3.0,2,3.6575128788447424,horizon_interior_static_caution
0.2,4.0,2,0.028951756222351337,subcompact
0.4,4.0,2,0.057903512444702675,subcompact
0.6000000000000001,4.0,2,0.08685526866705402,subcompact
0.8,4.0,2,0.11580702488940535,subcompact
1.0,4.0,2,0.1447587811117567,subcompact
1.2,4.0,2,0.17371053733410802,subcompact
1.4000000000000001,4.0,2,0.20266229355645937,subcompact
1.6,4.0,2,0.2316140497788107,subcompact
1.8,4.0,2,0.260565806001162,subcompact
2.0,4.0,2,0.2895175622235134,subcompact
2.2,4.0,2,0.31846931844586474,subcompact
2.4000000000000004,4.0,2,0.3474210746682161,subcompact
2.6000000000000005,4.0,2,0.37637283089056744,subcompact
2.8000000000000003,4.0,2,0.40532458711291874,subcompact
3.0000000000000004,4.0,2,0.43427634333527015,subcompact
3.2,4.0,2,0.4632280995576214,subcompact
3.4000000000000004,4.0,2,0.4921798557799728,subcompact
3.6000000000000005,4.0,2,0.5211316120023242,subcompact
