r_km,m_msun,epsilon_MeVfm3,p_r_MeVfm3,p_t_MeVfm3,sigma_MeVfm3,anisotropy_ratio_sigma_pr,f_metric,compactness_2m_r,NEC_r,NEC_t,SEC,DEC_r,DEC_t,phi_raw,Phi,gtt_minus
1.6,0.01790755614635646,1140.883908772455,289.45218150447585,291.678736746818,2.2265552423421227,0.007692307692307694,0.9669455682477448,0.033054431752255205,1.893526565904894e-09,1.8964741539092025e-09,2.6657946230336874e-09,1.1271536847847175e-09,1.124206096780409e-09,0.015007424244124039,-0.8425401975513358,-0.18542952373110608
1.625,0.018742399274517072,1139.0796620443411,288.8507659284379,291.13989978268904,2.2891338542511606,0.007924970691676437,0.965936820989629,0.03406317901037105,1.890341870005467e-09,1.8933723016609373e-09,2.6611832664868705e-09,1.1255613368350039e-09,1.1225309051795336e-09,0.015477236215658944,-0.8420703855798009,-0.18560383963422877
1.65,0.019601957342692523,1137.2509999892904,288.24121191008766,290.59345200728194,2.3522400971942417,0.008160665442691745,0.9649144044934734,0.035085595506526575,1.8871140783418256e-09,1.8902280521439978e-09,2.6565086632848126e-09,1.123947441003183e-09,1.1208334672010107e-09,0.01595414590067611,-0.8415934758947837,-0.1857809566270059
1.675,0.02048652832789631,1135.3980804261982,287.62357205572357,290.0394281587054,2.415856102981865,0.008399367568224982,0.9638784054253106,0.03612159457468948,1.883843469481852e-09,1.887041660271762e-09,2.6517711839703273e-09,1.1223121365731967e-09,1.1191139457832867e-09,0.016438144532163485,-0.8411094772632963,-0.18596087915274068
1.7,0.02139640669389565,1133.521063099046,286.9978996133395,289.47786352388675,2.4799639105473195,0.008641052474211392,0.9628289114565874,0.037171088543412584,1.8805303253914177e-09,1.8838133842326428e-09,2.646971203937306e-09,1.1206555645279794e-09,1.1173725056867544e-09,0.01692922319679961,-0.8406183985986603,-0.1861436117145317
1.725,0.022331883356590913,1131.620109655199,286.3642484653905,288.9087939379854,2.544545472594926,0.008885695355586453,0.9617660112505833,0.0382339887494167,1.8771749313960797e-09,1.8805434854605857e-09,2.6421091033908605e-09,1.1189778675303102e-09,1.1156093134658045e-09,0.01742737283446865,-0.8401202489609912,-0.18632915887489435
1.75,0.02329324565016793,1129.6953836234065,285.7226731214597,288.33225578370605,2.609582662246323,0.009133271202236719,0.9606897944486863,0.03931020555131368,1.8737775761422464e-09,1.8772322286050335e-09,2.637185267306673e-09,1.1172791899033936e-09,1.1138245374406068e-09,0.017932584237774045,-0.8396150375576859,-0.18651752525537546
1.775,0.024280777294029894,1127.7470503915142,285.0732287108289,287.7482859905104,2.675057279681479,0.009383754804962724,0.9596003516565331,0.04039964834346689,1.8703385515578366e-09,1.873879881500377e-09,2.6322000853895656e-09,1.1155596776111887e-09,1.112018347668648e-09,0.018444848051551062,-0.8391027737439087,-0.18670871553616133
1.8,0.02529475836051518,1125.7752771838893,284.41597097495395,287.15692203372504,2.740951058771121,0.009637120761451517,0.9584977744300139,0.04150222556998606,1.8668581528124345e-09,1.8704867151348906e-09,2.6271539520312938e-09,1.1138194782384878e-09,1.1101909159160315e-09,0.01896415477237846,-0.8385834670230814,-0.18690273445567918
1.825,0.026335465243407345,1123.7802330385612,283.75095625984454,286.558201933542,2.8072456736973557,0.009893343482256404,0.9573821552611461,0.042617844738853924,1.8633366782769398e-09,1.8670530036191453e-09,2.6220472662675507e-09,1.11205874097074e-09,1.1083424156285345e-09,0.01949049474808954,-0.8380571270473703,-0.18709958681019187
1.85,0.027403170627243283,1121.762088784081,283.0782415083512,285.95216425391044,2.8739227455592196,0.010152397196781493,0.9562535875638184,0.043746412436181575,1.859774429482722e-09,1.8635790241539096e-09,2.6168804317341873e-09,1.1102776165736315e-09,1.1064730219024439e-09,0.020023858177282826,-0.837523763618177,-0.18729927745338582
1.875,0.02849814345742526,1119.7210170161015,282.397884252358,285.338848101318,2.940963848959988,0.010414255959268688,0.9551121656594104,0.044887834340589634,1.8561717110802805e-09,1.860065056997528e-09,2.6116538566226456e-09,1.1084762573724107e-09,1.1045829114551632e-09,0.02056423510883263,-0.8369833866866272,-0.18750181129595195
1.9,0.029620648911142446,1117.6571920736806,281.70994260488436,284.71829312345744,3.0083505185730894,0.010678893654784796,0.9539579847622877,0.04604201523771231,1.852528830797419e-09,1.8565113854327907e-09,2.6063679536346016e-09,1.1066548172309799e-09,1.1026722625956082e-09,0.021111615441399747,-0.8364360063540601,-0.1877071933051601
1.925,0.030770948369107244,1115.5707900153154,281.01447525209596,284.0905395077794,3.0760642556834763,0.010946284005206362,0.9527911409651787,0.0472088590348213,1.8488460993969424e-09,1.852918295733287e-09,2.601023139935832e-09,1.1048134515307417e-09,1.1007412551943971e-09,0.021665988922942563,-0.8358816328725173,-0.18791542850442663
1.95,0.03194929938811147,1113.461988594702,280.31154144522486,283.4556279799263,3.1440865347014273,0.01121640057520003,0.9516117312244334,0.048388268775566574,1.84512383063387e-09,1.8492860771292433e-09,2.595619837109281e-09,1.1029523171492054e-09,1.098790070653832e-09,0.022227345150228804,-0.835320276645231,-0.18812652197287463
1.975,0.033155955674407385,1111.3309672362352,279.6012009924026,282.8135998020483,3.2123988096456855,0.011489216778196077,0.9504198533451691,0.04958014665483095,1.8413623412121902e-09,1.8456150217728603e-09,2.590158471107355e-09,1.1010715724383655e-09,1.0968188918776954e-09,0.022795673568348215,-0.8347519482271116,-0.18834047884488772
2.0,0.034391167057918136,1109.177907010239,278.88351425040383,282.16449677099683,3.2809825205929855,0.011764705882352941,0.9492156059663046,0.05078439403369536,1.8375619507411394e-09,1.8419054247031293e-09,2.5846394722034183e-09,1.0991713772028401e-09,1.0948279032408502e-09,0.023370963470226404,-0.8341766583252335,-0.18855730430965673
2.025,0.03565517946728199,1107.0029906079424,278.15854211630494,281.5083612163959,3.3498191000909987,0.012042841016510495,0.9479990885454883,0.05200091145451174,1.8337229816910295e-09,1.8381575838101508e-09,2.5790632749425165e-09,1.0972518926777851e-09,1.0928172905586638e-09,0.02395320399614015,-0.8335944177993198,-0.18877700361071925
2.05,0.036948234905734796,1104.8064023161978,277.4263460190568,280.8452359985886,3.418889979531795,0.012323595176129907,0.9467704013439197,0.053229598656080325,1.829845759348628e-09,1.8343717997989503e-09,2.5734303180913164e-09,1.0953132815065843e-09,1.0907872410562619e-09,0.0245423841332344,-0.8330052376622255,-0.18899958204549241
