profile,A,x_match,q,compactness_2M_over_R,compactness_class,f_match,min_f_inside,zero_crossings_inside,finite_curvature,regular_center_proxy,Ricci_min,Ricci_max,Ricci_abs_max,K_min,K_max,K_abs_max,rho_center,rho_boundary
untapered,0.5,3.0,2,0.12970891470935278,subcompact,0.8702910852906472,0.842420278692217,0,True,True,0.0003140611157639618,2.0002256879283298,2.0002256879283298,0.0011642230453007387,0.6668171760066601,0.6668171760066601,1.0,0.012200344097724948
untapered,0.5,3.0,4,0.12970891470935278,subcompact,0.8702910852906472,0.842420278692217,0,True,True,0.0003140611157639618,2.0002256879283298,2.0002256879283298,0.0011642230453007387,0.6668171760066601,0.6668171760066601,1.0,0.012200344097724948
untapered,0.5,4.0,2,0.10760903480785133,subcompact,0.8923909651921487,0.842420278692217,0,True,True,3.1559400328272716e-05,2.0002256879283298,2.0002256879283298,0.00031244984062819587,0.6668171760066601,0.6668171760066601,1.0,0.0038899524973518835
untapered,0.5,4.0,4,0.10760903480785133,subcompact,0.8923909651921487,0.842420278692217,0,True,True,3.1559400328272716e-05,2.0002256879283298,2.0002256879283298,0.00031244984062819587,0.6668171760066601,0.6668171760066601,1.0,0.0038899524973518835
untapered,0.5,5.0,2,0.09107645274910542,subcompact,0.9089235472508945,0.842420278692217,0,True,True,5.270616066324618e-06,2.0002256879283298,2.0002256879283298,0.00010432970495865769,0.6668171760066601,0.6668171760066601,1.0,0.0015972633304928048
untapered,0.5,5.0,4,0.09107645274910542,subcompact,0.9089235472508945,0.842420278692217,0,True,True,5.270616066324618e-06,2.0002256879283298,2.0002256879283298,0.00010432970495865769,0.6668171760066601,0.6668171760066601,1.0,0.0015972633304928048
untapered,1.0,3.0,2,0.25941782941870556,subcompact,0.7405821705812945,0.6848405573844341,0,True,True,0.0006281224209107247,4.000451376030569,4.000451376030569,0.004656892184683447,2.66726870425852,2.66726870425852,1.0,0.012200344097724948
untapered,1.0,3.0,4,0.25941782941870556,subcompact,0.7405821705812945,0.6848405573844341,0,True,True,0.0006281224209107247,4.000451376030569,4.000451376030569,0.004656892184683447,2.66726870425852,2.66726870425852,1.0,0.012200344097724948
untapered,1.0,4.0,2,0.21521806961570267,subcompact,0.7847819303842973,0.6848405573844341,0,True,True,6.311880077082208e-05,4.000451376030569,4.000451376030569,0.0012497993625105732,2.66726870425852,2.66726870425852,1.0,0.0038899524973518835
untapered,1.0,4.0,4,0.21521806961570267,subcompact,0.7847819303842973,0.6848405573844341,0,True,True,6.311880077082208e-05,4.000451376030569,4.000451376030569,0.0012497993625105732,2.66726870425852,2.66726870425852,1.0,0.0038899524973518835
untapered,1.0,5.0,2,0.18215290549821084,subcompact,0.8178470945017892,0.6848405573844341,0,True,True,1.0541156532348911e-05,4.000451376030569,4.000451376030569,0.00041731881858153076,2.66726870425852,2.66726870425852,1.0,0.0015972633304928048
untapered,1.0,5.0,4,0.18215290549821084,subcompact,0.8178470945017892,0.6848405573844341,0,True,True,1.0541156532348911e-05,4.000451376030569,4.000451376030569,0.00041731881858153076,2.66726870425852,2.66726870425852,1.0,0.0015972633304928048
untapered,2.0,3.0,2,0.5188356588374111,subcompact,0.4811643411625889,0.3696811147688682,0,True,True,0.0012562449557993183,8.000902751918323,8.000902751918323,0.01862756874288667,10.66907481665324,10.66907481665324,1.0,0.012200344097724948
untapered,2.0,3.0,4,0.5188356588374111,subcompact,0.4811643411625889,0.3696811147688682,0,True,True,0.0012562449557993183,8.000902751918323,8.000902751918323,0.01862756874288667,10.66907481665324,10.66907481665324,1.0,0.012200344097724948
untapered,2.0,4.0,2,0.43043613923140533,subcompact,0.5695638607685947,0.3696811147688682,0,True,True,0.00012623767732813235,8.000902751918323,8.000902751918323,0.004999197453515864,10.66907481665324,10.66907481665324,1.0,0.0038899524973518835
untapered,2.0,4.0,4,0.43043613923140533,subcompact,0.5695638607685947,0.3696811147688682,0,True,True,0.00012623767732813235,8.000902751918323,8.000902751918323,0.004999197453515864,10.66907481665324,10.66907481665324,1.0,0.0038899524973518835
untapered,2.0,5.0,2,0.3643058109964217,subcompact,0.6356941890035783,0.3696811147688682,0,True,True,2.108227508013788e-05,8.000902751918323,8.000902751918323,0.0016692752730771612,10.66907481665324,10.66907481665324,1.0,0.0015972633304928048
untapered,2.0,5.0,4,0.3643058109964217,subcompact,0.6356941890035783,0.3696811147688682,0,True,True,2.108227508013788e-05,8.000902751918323,8.000902751918323,0.0016692752730771612,10.66907481665324,10.66907481665324,1.0,0.0015972633304928048
untapered,4.0,3.0,2,1.0376713176748222,horizon_interior_static_caution,-0.037671317674822236,-0.26063777046226355,1,True,True,0.0025124898877375013,16.001805504064006,16.001805504064006,0.07451027496982732,42.67629926782554,42.67629926782554,1.0,0.012200344097724948
untapered,4.0,3.0,4,1.0376713176748222,horizon_interior_static_caution,-0.037671317674822236,-0.26063777046226355,1,True,True,0.0025124898877375013,16.001805504064006,16.001805504064006,0.07451027496982732,42.67629926782554,42.67629926782554,1.0,0.012200344097724948
