M_Msun,dim_H_SC,S_SC_kB,S_BH_kB,ratio
1,5.792122489566125e+25,59.32112612777139,1.0494297066288976e+77,5.65270124840755e-76
10,1.831629955371382e+27,62.775003767262454,1.0494297066288978e+79,5.981820732797411e-78
60,2.6919352729539675e+28,65.46264297110454,3.777946943864032e+80,1.732757075305834e-79
1000.0,1.8316299553713815e+30,69.6827590462446,1.0494297066288977e+83,6.640059701577136e-82
1000000.0,5.792122489566127e+34,80.0443919647178,1.0494297066288979e+89,7.62741815474672e-88
100000000000.0,1.8316299553713812e+42,97.31378016217315,1.0494297066288972e+99,9.273015576696036e-98
