a_star,r_plus_m,rho_kg_m3,mu_q_MeV,deconfined
0.0,177240.46418946594,5116716085811843.0,314.5771798459387,True
0.1,176796.24970246514,5155381528436668.0,314.5841515808956,True
0.3,173158.54552856693,5487166877471719.0,314.64327117677414,True
0.5,165367.60437804478,6299827401081933.0,314.78322414809105,True
0.7,151907.73657727212,8127187467007541.0,315.0774668360321,True
0.9,127248.89570013905,1.3826679296414636e+16,315.87709562172876,True
0.99,101121.65426090403,2.7551640243213572e+16,317.435402359193,True
