M_Msun,t_ff_s,t_pair_s,t_BEC_s,ratio_pair_ff
1,1.3934966316933698e-05,1.3164239130952148e-23,9.853509178309945e-06,9.44691133910746e-19
10,0.00013934966316933697,1.3164239130952148e-23,9.853509178309946e-05,9.446911339107461e-20
30,0.0004180489895080109,1.3164239130952148e-23,0.0002956052753492984,3.148970446369154e-20
60,0.0008360979790160218,1.3164239130952148e-23,0.0005912105506985967,1.574485223184577e-20
100,0.00139349663169337,1.3164239130952148e-23,0.0009853509178309947,9.44691133910746e-21
1000.0,0.013934966316933698,1.3164239130952148e-23,0.009853509178309947,9.44691133910746e-22
1000000.0,13.9349663169337,1.3164239130952148e-23,9.853509178309947,9.44691133910746e-25
100000000000.0,1393496.6316933695,1.3164239130952148e-23,985350.9178309945,9.446911339107463e-30
