eps_c_MeVfm3,B_MeVfm3,Delta_MeV,epsilon_surface_MeVfm3,alpha,R_aniso_km,M_msun,R_km,compactness_2M_R,max_sigma_over_pr,NEC_pass,SEC_pass,DEC_pass,n_steps,status
1150.0,80,50,272.5273642590275,0.3,8.0,1.9501532121999368,10.275,0.560531803664652,0.18677618024406514,True,True,True,411,ok
1150.0,80,50,272.5273642590275,0.2,8.0,1.9136659831796423,10.25,0.5513858646093824,0.12428835489833641,True,True,True,410,ok
1200.0,80,50,272.5273642590275,0.1,8.0,1.8775267668308588,10.175,0.5449605642620415,0.061798029464762046,True,True,True,407,ok
1250.0,80,50,272.5273642590275,0.0,8.0,1.8415621659004477,10.1,0.5384908979285318,0.0,True,True,True,404,ok
1400.0,80,50,272.5273642590275,-0.1,8.0,1.8073964372733335,9.95,0.5364678469554477,-9.765529633499674e-07,True,True,True,398,ok
1500.0,80,50,272.5273642590275,-0.2,8.0,1.7727085582517699,9.85,0.5315137053819239,-1.9531059266999348e-06,True,True,True,394,ok
