M_Msun,f_R_Hz,gamma_Hz,Q_factor
10,1256.4915611014271,749.1350442828324,0.8386282090863211
30,418.83052036714236,249.71167791189873,0.8386282208934392
60,209.41526018357118,124.85583895594937,0.8386282208934392
100,125.64915611014268,74.91350407333154,0.8386282130598703
1000.0,12.564915611014271,7.49135048022502,0.8386282048999031
1000000.0,0.012564915611014265,0.007491350275289666,0.838628227841637
