time_s,time_ms,signal
0.0,0.0,1.2736108262246216e-06
7.98379605984914e-05,0.07983796059849141,1.3732367835678917e-06
0.0001596759211969828,0.15967592119698282,1.635923787808809e-06
0.00023951388179547424,0.23951388179547425,2.0879889135192342e-06
0.0003193518423939656,0.31935184239396563,2.7740970607107057e-06
0.0003991898029924571,0.3991898029924571,3.7607494496981296e-06
0.0004790277635909485,0.4790277635909485,5.141360629544847e-06
0.0005588657241894398,0.5588657241894398,7.043190843532889e-06
0.0006387036847879312,0.6387036847879313,9.636483778548174e-06
0.0007185416453864227,0.7185416453864227,1.3146249365026166e-05
0.0007983796059849142,0.7983796059849142,1.786722783307277e-05
0.0008782175665834056,0.8782175665834056,2.418267448978142e-05
0.000958055527181897,0.958055527181897,3.258771369741277e-05
0.0010378934877803884,1.0378934877803883,4.371812336985869e-05
0.0011177314483788797,1.1177314483788796,5.838552487385639e-05
0.0011975694089773712,1.1975694089773712,7.76200630754466e-05
0.0012774073695758625,1.2774073695758625,0.00010272176142522163
0.001357245330174354,1.357245330174354,0.0001353218197435567
0.0014370832907728455,1.4370832907728455,0.00017745517825477962
0.0015169212513713368,1.5169212513713368,0.00023164568908212558
0.0015967592119698283,1.5967592119698284,0.000301005202716633
0.0016765971725683196,1.6765971725683195,0.00038934777717137436
0.0017564351331668111,1.756435133166811,0.000501320035626318
0.0018362730937653024,1.8362730937653025,0.0006425484176285398
0.001916111054363794,1.916111054363794,0.0008198036726175875
0.0019959490149622852,1.9959490149622852,0.0010411824169496253
0.0020757869755607767,2.0757869755607765,0.0013163049031115798
0.0021556249361592682,2.1556249361592683,0.0016565273224273013
0.0022354628967577593,2.235462896757759,0.0020751659753902993
0.002315300857356251,2.315300857356251,0.002587729498802565
0.0023951388179547423,2.3951388179547424,0.003212154046773299
0.002474976778553234,2.4749767785532337,0.003969034904285037
0.002554814739151725,2.554814739151725,0.00488184650028352
0.0026346526997502165,2.6346526997502164,0.005977141227969784
0.002714490660348708,2.714490660348708,0.007284715932818085
0.0027943286209471995,2.7943286209471996,0.008837733467278609
0.002874166581545691,2.874166581545691,0.01067278542165312
0.002954004542144182,2.9540045421441823,0.012829881121042712
0.0030338425027426736,3.0338425027426736,0.015352347334795435
0.003113680463341165,3.113680463341165,0.018286622988231624
0.0031935184239396566,3.193518423939657,0.021681933606637886
0.0032733563845381477,3.2733563845381477,0.02558983136181122
0.003353194345136639,3.353194345136639,0.030063588521114768
0.0034330323057351307,3.433032305735131,0.0351574348858549
