xi,phi,eps_tilde,m_tilde,phi_linear
0.001,1.0,1.05,0.0,0.42377699623520654
0.0010172294945233712,0.9999999995691877,1.049999999052213,2.3128848329599422e-10,0.42377698887084286
0.0010344589890467425,0.9999999982957765,1.0499999962507083,4.705232752968125e-10,0.4237769813806789
0.001051688483570114,0.9999999962069015,1.0499999916551832,7.178730916335306e-10,0.4237769737647144
0.0010689179780934853,0.9999999933279484,1.0499999853214865,9.734616570695001e-10,0.4237769660229497
0.0010861474726168567,0.9999999896826922,1.049999977301923,1.23742394404008e-09,0.4237769581553845
0.0011033769671402278,0.9999999852934227,1.0499999676455303,1.509894924960075e-09,0.423776950162019
0.0011162990880327563,0.9999999815258447,1.0499999593568587,1.719913185373976e-09,0.42377694408443833
0.0011292212089252848,0.9999999773599051,1.0499999501917918,1.934850449558289e-09,0.423776937936095
0.0011421433298178132,0.9999999728035792,1.0499999401678752,2.154763658961586e-09,0.423776931716989
0.0011550654507103417,0.999999967864485,1.0499999293018683,2.379709755025953e-09,0.4237769254271203
0.0011679875716028702,0.9999999625499034,1.0499999176097894,2.6097456791796385e-09,0.42377691906648884
0.0011809096924953986,0.9999999568667969,1.0499999051069555,2.8449283728438825e-09,0.42377691263509476
0.0011938318133879271,0.9999999508218264,1.0499998918080211,3.085314777425867e-09,0.423776906132938
0.0012067539342804558,0.9999999444213673,1.049999877727012,3.330961834325613e-09,0.42377689956001857
0.0012196760551729843,0.9999999376715252,1.0499998628773604,3.58192648492876e-09,0.4237768929163364
0.0012325981760655128,0.9999999305781493,1.0499998472719347,3.838265670613639e-09,0.42377688620189163
0.0012455202969580412,0.9999999231468463,1.0499998309230694,4.100036332743894e-09,0.4237768794166842
0.0012584424178505697,0.9999999153829925,1.0499998138425928,4.367295412675695e-09,0.42377687256071406
0.0012842866596356267,0.9999998988780556,1.0499997775317356,4.918506591295909e-09,0.4237768586364858
0.0013101309014206836,0.9999998811021715,1.0499997384247957,5.492354737096467e-09,0.42377684442920693
0.0013359751432057405,0.9999998620911681,1.0499996966005944,6.089295380475215e-09,0.4237768299388775
0.0013618193849907975,0.9999998418781529,1.049999652131969,6.7097840516921535e-09,0.4237768151654974
0.0013876636267758544,0.9999998204937678,1.049999605086331,7.354276280753078e-09,0.4237768001090669
0.0014135078685609114,0.9999997979664131,1.049999555526162,8.02322759753105e-09,0.4237767847695858
0.0014393521103459686,0.9999997743224497,1.0499995035094556,8.717093531632417e-09,0.42377676914705426
0.0014651963521310255,0.9999997495863784,1.049999449090114,9.43632961252579e-09,0.4237767532414723
0.0014910405939160824,0.9999997237810013,1.049999392318302,1.0181391369403098e-08,0.4237767370528399
0.0015168848357011396,0.999999696927567,1.0499993332407667,1.095273433131356e-08,0.4237767205811572
0.0015427290774861966,0.9999996690458994,1.0499992719011213,1.1750814027019693e-08,0.423776703826424
