x,r_km,f_metric,Phi,background,a_gl,psi,dpsi_dx,gradient_density,potential_density,weighted_free_energy_density,gl_residual
0.0024691358024691358,0.024999999999999998,0.999991682109975,-0.8098409560344298,v6_tov,-79.99999999925441,8.935654678828511,0.0,0.0,-1599.994065158334,-0.0043400913126825265,1.3383919394982513e-07
0.005596191803088355,0.056661442006269595,0.999955648363987,-0.8098249483100383,v6_tov,-79.99999999916463,8.935654678828511,-0.0012553243920462452,7.878847191069643e-07,-1599.9940651547497,-0.02229466993784808,1.330370196228614e-07
0.008723247803707574,0.0883228840125392,0.9998941205627812,-0.809797666480563,v6_tov,-79.99999999906403,8.935646827889165,-0.003392687901662799,5.754556245349834e-06,-1599.9940543369178,-0.05417315493714978,1.331358134848415e-07
0.011850303804326792,0.11998432601880878,0.9998071075314389,-0.8097590887003429,v6_tov,-79.99999999895131,8.935633460578389,-0.0050682009681392234,1.2840853144993835e-05,-1599.9940358977742,-0.09997776531804926,1.3302826573635684e-07
0.014977359804946012,0.15164576802507837,0.9996935283529697,-0.8097087276074101,v6_tov,-79.99999999882502,8.935615130792666,-0.0066251982482398745,2.1939899895649657e-05,-1599.994010568074,-0.15971174132202162,1.3386465980147477e-07
0.01810441580556523,0.18330721003134798,0.9995511639032012,-0.809645590968901,v6_tov,-79.99999999868352,8.935592025846514,-0.008140964015148225,3.312277417558663e-05,-1599.993978563981,-0.23337952837271414,1.342750692856498e-07
0.02123147180618445,0.21496865203761756,0.9993833680603408,-0.8095711595555998,v6_tov,-79.99999999852497,8.935564216291917,-0.009642007812397883,4.6455493711074825e-05,-1599.99393993077,-0.32098611064064114,1.3409476196102332e-07
0.02435852780680367,0.24663009404388717,0.9991901646975233,-0.8094854359487317,v6_tov,-79.99999999834733,8.935531723649738,-0.01114022160604865,6.200201659813164e-05,-1599.993894635795,-0.4225375636937441,1.3480234883900266e-07
0.02748558380742289,0.2782915360501568,0.9989694040453371,-0.8093874538655395,v6_tov,-79.99999999814831,8.935494544098274,-0.012642135969571632,7.982944415779337e-05,-1599.9938426007805,-0.5380414281386765,1.3484350347425789e-07
0.03061263980804211,0.30995297805642635,0.9987210725609668,-0.809277194515096,v6_tov,-79.99999999792531,8.93545265831545,-0.014151961678320576,0.00010001093914513952,-1599.9937837150048,-0.6675060578226115,1.3498538464773446e-07
0.033739695808661326,0.34161442006269593,0.998447436899156,-0.8091556545298063,v6_tov,-79.99999999767547,8.9354060361449,-0.015672783103706924,0.000122627382311917,-1599.9937178413024,-0.8109400208684993,1.3555893474404002e-07
0.03686675180928055,0.37327586206896557,0.9981485358596012,-0.809022838287956,v6_tov,-79.99999999739552,8.935354638974548,-0.017207111694094508,0.00014776825133085278,-1599.9936448188596,-0.9683532480601597,1.3622241112898337e-07
0.039993807809899765,0.4049373040752351,0.9978211680997859,-0.8088772990931059,v6_tov,-79.99999999708187,8.935298420941148,-0.018757149156922066,0.0001755320323316618,-1599.9935644643415,-1.1397582676501012,1.3697615486307768e-07
0.04312086381051899,0.43659874608150473,0.9974675026619274,-0.8087199881393887,v6_tov,-79.99999999673045,8.935237329662897,-0.02032490113100769,0.00020602771363386328,-1599.9934765722905,-1.3251664503167568,1.3726332781516248e-07
0.046247919811138204,0.4682601880877743,0.997088724161505,-0.8085514181824909,v6_tov,-79.9999999963367,8.93517130673306,-0.021912259987892143,0.00023937464850792316,-1599.9933809151512,-1.524590146151179,1.3813792065775488e-07
0.04937497581175743,0.49992163009404395,0.9966848861253859,-0.8083715953046011,v6_tov,-79.99999999589554,8.935100287934732,-0.02352108249933582,0.00027570363197909343,-1599.9932772428313,-1.7380431389704483,1.387229531246703e-07
0.05250203181237664,0.5315830721003135,0.9962517608133313,-0.808178595248839,v6_tov,-79.99999999540124,8.93502420324872,-0.025153206851297325,0.00031515618231817795,-1599.9931652818987,-1.9655439501076535,1.3980013591208262e-07
0.05562908781299586,0.563244514106583,0.9957936606436198,-0.8079743347449284,v6_tov,-79.99999999484741,8.934942976961894,-0.02681043597732386,0.00035788798138174685,-1599.9930447348472,-2.2071054323015606,1.4019803984410828e-07
0.05875614381361508,0.5949059561128527,0.9953107014419579,-0.8077588441817989,v6_tov,-79.9999999942269,8.934856527779315,-0.028494577813018934,0.000404066765573505,-1599.9929152793084,-2.4627442372704422,1.415193082721089e-07
0.0618831998142343,0.6265673981191223,0.9948019404856623,-0.8075316727210513,v6_tov,-79.99999999353166,8.934764768680823,-0.030207485600783374,0.0004538744988153337,-1599.9927765667921,-2.732479251831313,1.4214242582966108e-07
0.06501025581485351,0.6582288401253917,0.9942651886016307,-0.8072917982106147,v6_tov,-79.99999999275269,8.934667606781092,-0.03195103341862322,0.000507507023999259,-1599.9926282213441,-3.0163325497478954,1.4286376881500473e-07
0.06813731181547274,0.6898902821316615,0.9937038144247042,-0.8070407207898677,v6_tov,-79.9999999918799,8.934564943339268,-0.03372709700299702,0.0005651775268338099,-1599.9924698383386,-3.3143200549720664,1.441337644791929e-07
0.07126436781609195,0.721551724137931,0.9931178968591414,-0.8067784495448773,v6_tov,-79.99999999090201,8.934456673738959,-0.03553759770362923,0.000627114649496401,-1599.9923009831332,-3.626462305661703,1.450808895242517e-07
0.07439142381671117,0.7532131661442006,0.9925054747420186,-0.8065040570905098,v6_tov,-79.99999998980635,8.934342687222975,-0.03738452469240161,0.0006935641589211814,-1599.9921211892313,-3.9527844841167803,1.4598901998397196e-07
0.07751847981733039,0.7848746081504702,0.9918665032600668,-0.8062174869879042,v6_tov,-79.99999998857875,8.93422286673442,-0.039269894668269245,0.0007647908808142979,-1599.9919299564986,-4.293310251843784,1.4716079022036865e-07
0.0806455358179496,0.8165360501567397,0.9912032713392287,-0.8059197557981683,v6_tov,-79.99999998720331,8.934097088903442,-0.0411957471843952,0.0008410803747394166,-1599.991726749485,-4.648059399256929,1.484953600083827e-07
0.08377259181856883,0.8481974921630094,0.9905158716734707,-0.8056108742988062,v6_tov,-79.99999998566223,8.933965223917554,-0.043164198997050145,0.0009227388698108892,-1599.9915109954432,-5.017056305492539,1.5001353403931716e-07
0.08689964781918805,0.879858934169279,0.989801361002416,-0.8052894428502243,v6_tov,-79.99999998393555,8.933827135168471,-0.045177445007456546,0.001010093049764143,-1599.9912820818422,-5.400333908073453,1.5094860827957746e-07
0.09002670381980726,0.9115203761755486,0.9890617759199982,-0.8049563634995827,v6_tov,-79.99999998200093,8.933682679116547,-0.047237705040773126,0.0011034966079011444,-1599.991039354078,-5.797914984637841,1.5262457964126952e-07
0.09315375982042648,0.9431818181818181,0.9882983508131409,-0.8046121721556497,v6_tov,-79.99999997983333,8.933531705270465,-0.04934724308346206,0.0012033275621204883,-1599.990782113229,-6.209824181853026,1.5396483377116965e-07
0.09628081582104571,0.9748432601880878,0.9875111916965589,-0.8042568812844219,v6_tov,-79.9999999774047,8.93337405593135,-0.05150843405481843,0.0013099922434725707,-1599.9905096132518,-6.636089712642379,1.5517071005888283e-07
0.09940787182166493,1.0065047021943574,0.9866964166372973,-0.8038886242028502,v6_tov,-79.99999997468358,8.933209565754877,-0.05372373678774299,0.001423921280699133,-1599.9902210576806,-7.07675402870579,1.5682496723457007e-07
0.10253492782228414,1.038166144200627,0.9858580659062384,-0.8035092523753717,v6_tov,-79.99999997163476,8.933038061664355,-0.055995627891168125,0.001545584081153098,-1599.9899155967175,-7.531835938820032,1.5850093859626213e-07
0.10566198382290336,1.0698275862068964,0.9849963519988759,-0.8031188249054325,v6_tov,-79.99999996821879,8.932859362826466,-0.05832666078659224,0.0016754784788194999,-1599.9895923242502,-8.001366243577628,1.603615373824141e-07
0.10878903982352257,1.101489028213166,0.9841104958346892,-0.8027169275589991,v6_tov,-79.99999996439142,8.932673280195138,-0.0607195249465596,0.0018141391605658024,-1599.989250273889,-8.485380615383665,1.6204865005420288e-07
